대표번호,매장명,매장주소,시군구,시도,영업시작시간,영업종료시간,경도(Long),레코드 수,매장코드,위도(Lat)
1522-3232,경희대,서울특별시 동대문구 경희대로 16-1 (회기동),동대문구,서울시,1899-12-30 오전 7:00:00,1899-12-30 오후 9:30:00,127.0528085,1,345,37.5928812
1522-3232,월곡역,"서울특별시 성북구 화랑로 76, 101-1호 (하월곡동)",성북구,서울시,1899-12-30 오전 7:30:00,1899-12-30 오후 11:00:00,127.040446,1,615,37.601718
1522-3232,경희대삼거리,서울특별시 동대문구 회기로 141 (회기동),동대문구,서울시,1899-12-30 오전 7:30:00,1899-12-30 오후 11:00:00,127.052017,1,1226,37.591531
1522-3232,외대정문,서울특별시 동대문구 이문로 93 (이문동),동대문구,서울시,1899-12-30 오전 7:30:00,1899-12-30 오후 11:00:00,127.0590302,1,1171,37.5953464
1522-3232,회기역사거리,서울특별시 동대문구 이문로 37 (회기동),동대문구,서울시,1899-12-30 오전 7:30:00,1899-12-30 오후 11:00:00,127.056098,1,784,37.590784
1522-3232,외대,서울특별시 동대문구 휘경로 12-1 (이문동),동대문구,서울시,1899-12-30 오전 7:30:00,1899-12-30 오후 11:00:00,127.0614002,1,242,37.59575188
1522-3232,종암DT,서울특별시 성북구 종암로 17 (종암동),성북구,서울시,1899-12-30 오전 7:30:00,1899-12-30 오후 11:00:00,127.0360401,1,1369,37.5919525
1522-3232,종암,서울특별시 성북구 종암로 122 (종암동),성북구,서울시,1899-12-30 오전 7:30:00,1899-12-30 오후 11:00:00,127.033847,1,997,37.601095
1522-3232,미아,서울특별시 성북구 동소문로 314 (하월곡동),성북구,서울시,1899-12-30 오전 9:00:00,1899-12-30 오후 9:00:00,127.029303,1,1206,37.607581
1522-3232,안암역,서울특별시 성북구 고려대로 102-2 (안암동5가),성북구,서울시,1899-12-30 오전 10:00:00,1899-12-30 오후 9:00:00,127.030556,1,558,37.586319
1522-3232,역삼아레나빌딩,서울특별시 강남구 언주로 425 (역삼동),강남구,서울시,1899-12-30 오전 9:00:00,1899-12-30 오후 9:00:00,127.043069,1,1509,37.501087
1522-3232,논현역사거리,서울특별시 강남구 강남대로 538 (논현동),강남구,서울시,1899-12-30 오전 9:00:00,1899-12-30 오후 9:00:00,127.022223,1,1434,37.510178
1522-3232,신사역성일빌딩,서울특별시 강남구 강남대로 584 (논현동),강남구,서울시,1899-12-30 오전 9:30:00,1899-12-30 오후 9:00:00,127.020563,1,1595,37.514132
1522-3232,국기원사거리,서울특별시 강남구 테헤란로 125 (역삼동),강남구,서울시,1899-12-30 오전 8:30:00,1899-12-30 오후 9:30:00,127.031495,1,1527,37.499517
1522-3232,스탈릿대치R,서울특별시 강남구 남부순환로 2947 (대치동),강남구,서울시,1899-12-30 오전 9:00:00,1899-12-30 오후 9:30:00,127.062583,1,1468,37.494668
1522-3232,삼성역섬유센터R,서울특별시 강남구 테헤란로 518 (대치동),강남구,서울시,1899-12-30 오전 9:00:00,1899-12-30 오후 9:30:00,127.060651,1,1438,37.50775
1522-3232,압구정R,서울특별시 강남구 언주로 861 (신사동),강남구,서울시,1899-12-30 오전 9:30:00,1899-12-30 오후 9:00:00,127.033061,1,1411,37.5273669
1522-3232,수서역R,서울특별시 강남구 광평로 281 (수서동),강남구,서울시,1899-12-30 오전 9:30:00,1899-12-30 오후 9:00:00,127.10265,1,1389,37.488008
1522-3232,양재강남빌딩R,서울특별시 강남구 남부순환로 2621 (도곡동),강남구,서울시,1899-12-30 오전 9:30:00,1899-12-30 오후 9:00:00,127.036685,1,1404,37.485192
1522-3232,선릉동신빌딩R,서울특별시 강남구 테헤란로 409 (삼성동),강남구,서울시,1899-12-30 오전 8:00:00,1899-12-30 오후 9:30:00,127.050409,1,1355,37.505321
1522-3232,봉은사로선정릉,서울특별시 강남구 봉은사로 446 (삼성동),강남구,서울시,1899-12-30 오전 8:30:00,1899-12-30 오후 9:30:00,127.048409,1,1348,37.511293
1522-3232,강남오거리,서울특별시 강남구 봉은사로2길 39 (역삼동),강남구,서울시,1899-12-30 오전 9:30:00,1899-12-30 오후 9:30:00,127.026672,1,1255,37.502117
1522-3232,스타필드코엑스몰R,서울특별시 강남구 영동대로 513 (삼성동),강남구,서울시,1899-12-30 오전 9:00:00,1899-12-30 오후 9:00:00,127.061455,1,1211,37.50999
1522-3232,강남구청정문,서울특별시 강남구 학동로 419 (청담동),강남구,서울시,1899-12-30 오전 9:00:00,1899-12-30 오후 9:00:00,127.045995,1,1188,37.518181
1522-3232,도곡공원,서울특별시 강남구 도곡로 205 (역삼동),강남구,서울시,1899-12-30 오전 9:00:00,1899-12-30 오후 9:30:00,127.041309,1,1263,37.492805
1522-3232,강남R,서울특별시 강남구 강남대로 390 (역삼동),강남구,서울시,1899-12-30 오전 9:00:00,1899-12-30 오후 9:30:00,127.028439,1,1258,37.497711
1522-3232,대치은마사거리,서울특별시 강남구 도곡로 457 (대치동),강남구,서울시,1899-12-30 오전 9:30:00,1899-12-30 오후 9:30:00,127.060172,1,1099,37.498973
1522-3232,청담영동대로,서울특별시 강남구 영동대로 720 (청담동),강남구,서울시,1899-12-30 오전 9:00:00,1899-12-30 오후 9:00:00,127.056449,1,1154,37.522156
1522-3232,압구정,서울특별시 강남구 압구정로30길 17 (신사동),강남구,서울시,1899-12-30 오전 8:30:00,1899-12-30 오후 9:00:00,127.02956,1,1084,37.526283
1522-3232,신사가로수,서울특별시 강남구 압구정로12길 32 (신사동),강남구,서울시,1899-12-30 오전 9:30:00,1899-12-30 오후 9:00:00,127.02251,1,1159,37.521852
1522-3232,청담스타R,서울특별시 강남구 도산대로57길 24 (청담동),강남구,서울시,1899-12-30 오전 9:00:00,1899-12-30 오후 9:00:00,127.041827,1,1146,37.525216
1522-3232,강남우성,서울특별시 강남구 강남대로 328 (역삼동),강남구,서울시,1899-12-30 오전 9:30:00,1899-12-30 오후 9:30:00,127.03091,1,1129,37.492396
1522-3232,학동사거리,서울특별시 강남구 도산대로 328 (논현동),강남구,서울시,1899-12-30 오전 8:30:00,1899-12-30 오후 9:30:00,127.0379543,1,991,37.5223645
1522-3232,대치사거리,서울특별시 강남구 삼성로 402 (대치동),강남구,서울시,1899-12-30 오전 8:30:00,1899-12-30 오후 9:00:00,127.058817,1,1062,37.503331
1522-3232,포스코사거리,서울특별시 강남구 테헤란로 505 (삼성동) 화진빌딩,강남구,서울시,1899-12-30 오전 9:00:00,1899-12-30 오후 9:00:00,127.0574271,1,1038,37.5075307
1522-3232,을지병원사거리,"서울특별시 강남구 논현로 752 (논현동,구산빌딩)",강남구,서울시,1899-12-30 오전 9:00:00,1899-12-30 오후 10:00:00,127.0286446,1,914,37.5191632
1522-3232,신사역,서울특별시 강남구 도산대로 108 (논현동) 렉스타워,강남구,서울시,1899-12-30 오전 9:00:00,1899-12-30 오후 10:00:00,127.0207428,1,863,37.5162021
1522-3232,도곡역,서울특별시 강남구 남부순환로 2909 (대치동),강남구,서울시,1899-12-30 오전 9:00:00,1899-12-30 오후 9:00:00,127.057398,1,825,37.492167
1522-3232,서울세관사거리,서울특별시 강남구 언주로 650 (논현동) 한국건설기술인협회,강남구,서울시,1899-12-30 오전 9:30:00,1899-12-30 오후 9:30:00,127.035653,1,815,37.514887
1522-3232,청담사거리,서울특별시 강남구 도산대로 458 (청담동) 리츠타워,강남구,서울시,1899-12-30 오전 10:00:00,1899-12-30 오후 9:00:00,127.0468651,1,734,37.5236351
1522-3232,한티역,"서울특별시 강남구 도곡로 408, 디마크빌딩 101호 (대치동)",강남구,서울시,1899-12-30 오전 8:30:00,1899-12-30 오후 9:30:00,127.055055,1,687,37.496801
1522-3232,역삼초교사거리,서울특별시 강남구 역삼로 123 (역삼동),강남구,서울시,1899-12-30 오전 8:30:00,1899-12-30 오후 9:00:00,127.0329973,1,752,37.4941059
1522-3232,코엑스몰,서울특별시 강남구 영동대로 513 (삼성동) 코엑스,강남구,서울시,1899-12-30 오전 8:30:00,1899-12-30 오후 9:30:00,127.059245,1,744,37.513715
1522-3232,가로수길,"서울특별시 강남구 논현로175길 94, 1~2층 (신사동)",강남구,서울시,1899-12-30 오전 9:00:00,1899-12-30 오후 9:00:00,127.021625,1,672,37.5231593
1522-3232,역삼대로,"서울특별시 강남구 테헤란로 211, 한국고등교육재단빌딩 1층 (역삼동)",강남구,서울시,1899-12-30 오전 10:00:00,1899-12-30 오후 9:00:00,127.039375,1,632,37.501623
1522-3232,역삼포스코,"서울특별시 강남구 테헤란로 134, P&S TOWER (역삼동)",강남구,서울시,1899-12-30 오전 8:00:00,1899-12-30 오후 9:30:00,127.033582,1,636,37.499721
1522-3232,강남대로,"서울특별시 강남구 강남대로 456, 한석타워 2층 1-2호 (역삼동)",강남구,서울시,1899-12-30 오전 8:00:00,1899-12-30 오후 9:00:00,127.025546,1,630,37.50314
1522-3232,청담,"서울특별시 강남구 도산대로 532, 인희빌딩 1층 (청담동)",강남구,서울시,1899-12-30 오전 7:30:00,1899-12-30 오후 10:00:00,127.0515599,1,667,37.5243631
1522-3232,삼성도심공항,서울특별시 강남구 테헤란로87길 33 (삼성동),강남구,서울시,1899-12-30 오전 7:30:00,1899-12-30 오후 10:00:00,127.0579134,1,643,37.5097863
1522-3232,삼성교,"서울특별시 강남구 영동대로86길 12, 동남유화빌딩 1층",강남구,서울시,1899-12-30 오전 9:30:00,1899-12-30 오후 9:30:00,127.06517,1,607,37.507794
1522-3232,학동역,서울특별시 강남구 논현로 704 (논현동),강남구,서울시,1899-12-30 오전 9:00:00,1899-12-30 오후 10:00:00,127.0307302,1,251,37.51464884
1522-3232,대치,서울특별시 강남구 도곡로 511 (대치동),강남구,서울시,1899-12-30 오전 7:30:00,1899-12-30 오후 9:30:00,127.0622171,1,200,37.49966175
1522-3232,기술센터,"서울특별시 강남구 테헤란로 305, 한국기술센터 1층 (역삼동)",강남구,서울시,1899-12-30 오전 8:00:00,1899-12-30 오후 9:00:00,127.0436409,1,199,37.50329211
1522-3232,SSG마켓도곡R,"서울특별시 강남구 언주로30길 57, 타워팰리스Ⅱ F 지하1층 (도곡동)",강남구,서울시,1899-12-30 오전 7:30:00,1899-12-30 오후 9:00:00,127.054895,1,198,37.490298
1522-3232,삼성,"서울특별시 강남구 테헤란로 443, 애플트리타워 1층 (삼성동)",강남구,서울시,1899-12-30 오전 7:00:00,1899-12-30 오후 9:00:00,127.0555503,1,180,37.50703529
1522-3232,선릉세화빌딩,"서울특별시 강남구 테헤란로64길 18, 세화빌딩 1층 (대치동)",강남구,서울시,1899-12-30 오전 10:00:00,1899-12-30 오후 9:30:00,127.051196,1,170,37.50377562
1522-3232,압구정역,"서울특별시 강남구 압구정로 170, 관영빌딩 1층 지하1층 (신사동)",강남구,서울시,1899-12-30 오전 7:00:00,1899-12-30 오후 9:00:00,127.0281105,1,158,37.52674095
1522-3232,압구정로,서울특별시 강남구 압구정로42길 32 (신사동),강남구,서울시,1899-12-30 오전 8:00:00,1899-12-30 오후 9:30:00,127.0347174,1,283,37.52680046
1522-3232,구역삼사거리,서울특별시 강남구 논현로 401 (역삼동),강남구,서울시,1899-12-30 오전 8:30:00,1899-12-30 오후 9:00:00,127.0388645,1,279,37.49592355
1522-3232,큰길타워,"서울특별시 강남구 테헤란로 223, 큰길타워빌딩 (역삼동)",강남구,서울시,1899-12-30 오전 9:30:00,1899-12-30 오후 9:30:00,127.0407,1,278,37.50236693
1522-3232,강남구청역,"서울특별시 강남구 선릉로 669, 웰빙센터 1층 (논현동)",강남구,서울시,1899-12-30 오전 8:30:00,1899-12-30 오후 10:00:00,127.0412433,1,275,37.5165849
1522-3232,대치역,"서울특별시 강남구 남부순환로 2936, 원플러스 상가107호 (대치동)",강남구,서울시,1899-12-30 오전 8:00:00,1899-12-30 오후 10:00:00,127.061874,1,274,37.493554
1522-3232,포이,서울특별시 강남구 논현로 88 (개포동),강남구,서울시,1899-12-30 오전 9:00:00,1899-12-30 오후 9:30:00,127.0451411,1,272,37.47781106
1522-3232,아크플레이스,서울특별시 강남구 테헤란로 142 (역삼동),강남구,서울시,1899-12-30 오전 7:30:00,1899-12-30 오후 10:00:00,127.0349084,1,19,37.49971982
1522-3232,학여울역,서울특별시 강남구 영동대로 215 (대치동),강남구,서울시,1899-12-30 오전 9:00:00,1899-12-30 오후 9:30:00,127.0684943,1,3,37.49803646
1522-3232,선정릉역,서울특별시 강남구 봉은사로 407 (삼성동) 에프오빌딩,강남구,서울시,1899-12-30 오전 7:00:00,1899-12-30 오후 9:30:00,127.0445597,1,989,37.5107549
1522-3232,삼성현대힐,서울특별시 강남구 삼성로 605 (삼성동),강남구,서울시,1899-12-30 오전 8:00:00,1899-12-30 오후 9:30:00,127.0527183,1,58,37.51354184
1522-3232,GS타워,서울특별시 강남구 논현로 508 (역삼동),강남구,서울시,1899-12-30 오전 8:00:00,1899-12-30 오후 10:00:00,127.0372776,1,266,37.5018592
