메뉴명,카테고리,나트륨(Mg),단백질(G),당류(G),레코드 수,지정 카페인 용량,카페인(Mg),칼로리 if,칼로리(Kcal),포화지방(G)
나이트로 바닐라 크림,콜드브루커피,20,1,10,1,카페인 > 80mg,245,,75,2
제주 비자림 콜드 브루,콜드브루커피,115,10,44,1,카페인 > 80mg,105,340,340,8
나이트로 쇼콜라 클라우드,콜드브루커피,20,1,7,1,카페인 > 80mg,245,,55,2
나이트로 콜드 브루,콜드브루커피,5,0,0,1,카페인 > 80mg,245,,5,0
돌체 콜드 브루,콜드브루커피,115,8,29,1,카페인 > 80mg,150,,265,9
바닐라 크림 콜드 브루,콜드브루커피,58,3,11,1,카페인 > 80mg,150,,125,6
콜드 브루,콜드브루커피,11,0,0,1,카페인 > 80mg,150,,5,0
콜드 브루 몰트,콜드브루커피,147.8,10,40,1,카페인 > 80mg,150,510,510,20
콜드 브루 플로트,콜드브루커피,69,3,18,1,카페인 > 80mg,150,,230,10
콜드 폼 콜드 브루,콜드브루커피,175,5,20,1,카페인 > 80mg,150,,105,0
아이스 커피,브루드커피,10,0,0,1,카페인 > 80mg,140,,5,0
오늘의 커피,브루드커피,10,0,0,1,카페인 > 80mg,260,,5,0
아이스 체리블라썸 루비 라떼,에스프레소,110,7,24,1,카페인 <= 80mg,75,,295,11
체리블라썸 루비 라떼,에스프레소,160,10,30,1,카페인 <= 80mg,75,365,365,13
에스프레소 콘 파나,에스프레소,0,0,1,1,카페인 <= 80mg,75,,30,1.5
에스프레소 마키아또,에스프레소,0,1,0,1,카페인 <= 80mg,75,,10,0
아이스 카페 아메리카노,에스프레소,5,1,0,1,카페인 > 80mg,150,,10,0
카페 아메리카노,에스프레소,5,1,0,1,카페인 > 80mg,150,,10,0
블론드 카라멜 클라우드 마키아또,에스프레소,310,10,36,1,카페인 > 80mg,170,,250,3.7
블론드 코코아 클라우드 마키아또,에스프레소,340,10,38,1,카페인 > 80mg,170,,255,3.6
아이스 블론드 카라멜 클라우드 마키아또,에스프레소,280,8,33,1,카페인 > 80mg,170,,215,2.5
아이스 블론드 코코아 클라우드 마키아또,에스프레소,310,8,35,1,카페인 > 80mg,170,,220,2.4
아이스 카라멜 마키아또,에스프레소,110,6,21,1,카페인 <= 80mg,75,,190,4.6
카라멜 마키아또,에스프레소,130,8,22,1,카페인 <= 80mg,75,,200,5
아이스 카푸치노,에스프레소,90,6,9,1,카페인 <= 80mg,75,,115,3.5
카푸치노,에스프레소,70,6,8,1,카페인 <= 80mg,75,,110,3
라벤더 카페 브레베,에스프레소,140,7,30,1,카페인 <= 80mg,75,406,406,22
럼 샷 코르타도,에스프레소,45,3,8,1,카페인 <= 80mg,75,,70,1.8
스타벅스 돌체 라떼,에스프레소,190,12,39,1,카페인 > 80mg,150,,255,2.5
아이스 라벤더 카페 브레베,에스프레소,110,6,27,1,카페인 <= 80mg,75,335,335,18
아이스 스타벅스 돌체 라떼,에스프레소,145,10,35,1,카페인 > 80mg,150,,230,2.5
아이스 카페 라떼,에스프레소,75,6,8,1,카페인 <= 80mg,75,,110,3.5
카페 라떼,에스프레소,115,10,13,1,카페인 <= 80mg,75,,180,5
아이스 카페 모카,에스프레소,70,7,21,1,카페인 > 80mg,95,,250,8
아이스 화이트 초콜릿 모카,에스프레소,150,8,41,1,카페인 <= 80mg,75,350,350,11
카페 모카,에스프레소,105,10,25,1,카페인 > 80mg,95,,290,9
화이트 초콜릿 모카,에스프레소,190,12,45,1,카페인 <= 80mg,75,390,390,11
바닐라 플랫 화이트,에스프레소,130,9,23,1,카페인 > 80mg,260,,220,5
바닐라 스타벅스 더블 샷,에스프레소,30,2,14,1,카페인 > 80mg,145,,125,4.5
